text,workout_type,source,video_title,channel,likes,date,video_id,author,word_count,spam,cleaned_text,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound,sentiment_category,motivation_type,motivation_strength,equipment_gym_specific,equipment_home_specific,equipment_free_weights,equipment_cardio,equipment_primary,total_equipment_mentions,satisfaction_positive,satisfaction_negative,satisfaction_progress,satisfaction_frustration,satisfaction_net,satisfaction_level
SO I GUESS EVERYONE IS WORKING OUT TO BE A BODY BUILDER 😂😂😂WOW OK 😅😅😅😢😢😮,gym,youtube,BEST 5 DAY WORKOUT SPLIT,Shulk,0,2026-03-05,3leNrtwGdOM,@alphibarnette2081,15,False,SO I GUESS EVERYONE IS WORKING OUT TO BE A BODY BUILDER WOW OK,0.0,0.625,0.375,0.7184,positive,external,1,0,0,0,0,no_equipment,0,0,0,0,0,0,neutral
best 5 day splöit is no split or gear yourself up bcz a normal body will not recover properly no matter how good u plan the excercies your performance will suffe,gym,youtube,BEST 5 DAY WORKOUT SPLIT,Shulk,0,2026-03-01,3leNrtwGdOM,@TheL4r5,31,False,best 5 day splöit is no split or gear yourself up bcz a normal body will not recover properly no matter how good u plan the excercies your performance will suffe,0.124,0.646,0.23,0.5859,positive,internal,1,0,1,0,0,home_focused,1,2,0,0,0,2,very_satisfied
Does this give better gains I normally just train chest shoulders leg back all on separate days ?,gym,youtube,BEST 5 DAY WORKOUT SPLIT,Shulk,0,2026-02-28,3leNrtwGdOM,@f103a03,18,False,Does this give better gains I normally just train chest shoulders leg back all on separate days ?,0.0,0.725,0.275,0.6486,positive,goal_oriented,2,0,0,0,0,no_equipment,0,2,0,2,0,2,very_satisfied
"Mine is 
Push - Chest, Shoulders,Triceps
Pull - Back, Biceps Forearms, neck&traps
Legs - quads, hamstring, calves
×2 a week and rest",gym,youtube,BEST 5 DAY WORKOUT SPLIT,Shulk,0,2026-02-20,3leNrtwGdOM,@DewaldDupreez-l1l,22,False,Mine is Push Chest Shoulders Triceps Pull Back Biceps Forearms neck traps Legs quads hamstring calves 2 a week and rest,0.0,1.0,0.0,0.0,neutral,not_detected,0,0,0,0,0,no_equipment,0,0,0,0,0,0,neutral
"1. Legs quads 
2. Chest/shoulder/tris
3. Back bis
4 rest
5 Legs = hammies/°back
6. Shoulders chest tris",gym,youtube,BEST 5 DAY WORKOUT SPLIT,Shulk,0,2026-02-15,3leNrtwGdOM,@godsandmonstars,18,False,1 Legs quads 2 Chest shoulder tris 3 Back bis 4 rest 5 Legs hammies back 6 Shoulders chest tris,0.0,1.0,0.0,0.0,neutral,not_detected,0,0,0,0,0,no_equipment,0,0,0,0,0,0,neutral
"Bruh if you can still hit upper body after hitting arms, your arm training is trash.",gym,youtube,BEST 5 DAY WORKOUT SPLIT,Shulk,0,2026-01-29,3leNrtwGdOM,@Hxllxwood,16,False,Bruh if you can still hit upper body after hitting arms your arm training is trash,0.0,1.0,0.0,0.0,neutral,not_detected,0,0,0,0,0,no_equipment,0,0,0,0,0,0,neutral
"Day 1: Test 
Day 2: Tren
Day 3: Clen
Day 4: Anavar 
Day 5: Winstrol",gym,youtube,BEST 5 DAY WORKOUT SPLIT,Shulk,1,2026-01-28,3leNrtwGdOM,@NightmareChronicles77,15,False,Day 1 Test Day 2 Tren Day 3 Clen Day 4 Anavar Day 5 Winstrol,0.0,1.0,0.0,0.0,neutral,not_detected,0,0,0,0,0,no_equipment,0,0,0,0,0,0,neutral
"I don’t like having scheduled days for what I’m hitting it gets boring so I’m just now starting to do it like legs 2x week , chest 4x per week ,bicep & tricep 4x per week , back 3x per week ,abs 3x per week ,shoulders 3x per week , heavy bag 3x per week for conditioning ,on days I’m not doing chest I’ll still do 50 pushups",gym,youtube,BEST 5 DAY WORKOUT SPLIT,Shulk,0,2026-01-17,3leNrtwGdOM,@keanu.3,68,False,I don t like having scheduled days for what I m hitting it gets boring so I m just now starting to do it like legs 2x week chest 4x per week bicep tricep 4x per week back 3x per week abs 3x per week shoulders 3x per week heavy bag 3x per week for conditioning on days I m not doing chest I ll still do 50 pushups,0.036,0.886,0.078,0.4019,positive,not_detected,0,0,0,0,0,no_equipment,0,0,1,0,0,-1,dissatisfied
"My day 1 chest tricep
Day 2      back bicep
Day 3      leg shoulder
Day 4.     Follow the above same pattern",gym,youtube,BEST 5 DAY WORKOUT SPLIT,Shulk,0,2026-01-12,3leNrtwGdOM,@Tcfdfx,20,False,My day 1 chest tricep Day 2 back bicep Day 3 leg shoulder Day 4 Follow the above same pattern,0.0,1.0,0.0,0.0,neutral,not_detected,0,0,0,0,0,no_equipment,0,0,0,0,0,0,neutral
"Too much work. I prefer 
Day 1 McDonald’s
Day 2 kfc
Day 3 Taco Bell
Day 4 Pizza Hut 
Day 5 in n out",gym,youtube,BEST 5 DAY WORKOUT SPLIT,Shulk,0,2026-01-06,3leNrtwGdOM,@dominicclesceri5627,24,False,Too much work I prefer Day 1 McDonald s Day 2 kfc Day 3 Taco Bell Day 4 Pizza Hut Day 5 in n out,0.0,1.0,0.0,0.0,neutral,not_detected,0,0,0,0,0,no_equipment,0,0,0,0,0,0,neutral
