text,workout_type,source,video_title,channel,likes,date,video_id,author,word_count,spam
SO I GUESS EVERYONE IS WORKING OUT TO BE A BODY BUILDER 😂😂😂WOW OK 😅😅😅😢😢😮,gym,youtube,BEST 5 DAY WORKOUT SPLIT,Shulk,0,2026-03-05,3leNrtwGdOM,@alphibarnette2081,15,False
best 5 day splöit is no split or gear yourself up bcz a normal body will not recover properly no matter how good u plan the excercies your performance will suffe,gym,youtube,BEST 5 DAY WORKOUT SPLIT,Shulk,0,2026-03-01,3leNrtwGdOM,@TheL4r5,31,False
Does this give better gains I normally just train chest shoulders leg back all on separate days ?,gym,youtube,BEST 5 DAY WORKOUT SPLIT,Shulk,0,2026-02-28,3leNrtwGdOM,@f103a03,18,False
"Mine is 
Push - Chest, Shoulders,Triceps
Pull - Back, Biceps Forearms, neck&traps
Legs - quads, hamstring, calves
×2 a week and rest",gym,youtube,BEST 5 DAY WORKOUT SPLIT,Shulk,0,2026-02-20,3leNrtwGdOM,@DewaldDupreez-l1l,22,False
"1. Legs quads 
2. Chest/shoulder/tris
3. Back bis
4 rest
5 Legs = hammies/°back
6. Shoulders chest tris",gym,youtube,BEST 5 DAY WORKOUT SPLIT,Shulk,0,2026-02-15,3leNrtwGdOM,@godsandmonstars,18,False
"Bruh if you can still hit upper body after hitting arms, your arm training is trash.",gym,youtube,BEST 5 DAY WORKOUT SPLIT,Shulk,0,2026-01-29,3leNrtwGdOM,@Hxllxwood,16,False
"Day 1: Test 
Day 2: Tren
Day 3: Clen
Day 4: Anavar 
Day 5: Winstrol",gym,youtube,BEST 5 DAY WORKOUT SPLIT,Shulk,1,2026-01-28,3leNrtwGdOM,@NightmareChronicles77,15,False
"I don’t like having scheduled days for what I’m hitting it gets boring so I’m just now starting to do it like legs 2x week , chest 4x per week ,bicep & tricep 4x per week , back 3x per week ,abs 3x per week ,shoulders 3x per week , heavy bag 3x per week for conditioning ,on days I’m not doing chest I’ll still do 50 pushups",gym,youtube,BEST 5 DAY WORKOUT SPLIT,Shulk,0,2026-01-17,3leNrtwGdOM,@keanu.3,68,False
"My day 1 chest tricep
Day 2      back bicep
Day 3      leg shoulder
Day 4.     Follow the above same pattern",gym,youtube,BEST 5 DAY WORKOUT SPLIT,Shulk,0,2026-01-12,3leNrtwGdOM,@Tcfdfx,20,False
"Too much work. I prefer 
Day 1 McDonald’s
Day 2 kfc
Day 3 Taco Bell
Day 4 Pizza Hut 
Day 5 in n out",gym,youtube,BEST 5 DAY WORKOUT SPLIT,Shulk,0,2026-01-06,3leNrtwGdOM,@dominicclesceri5627,24,False
